ID	SEX	AGE	EDUC	ETHNIC	EMPLOY	MARITAL	SEXN
1191	"M"	40					1
1192	"F"	35	6	5	6	2	2
1193	"F"	79	8	5	3	4	2
1194	"M"	67	3	5	3	2	1
1195	"M"	44	8	5	1	2	1
1197	"F"	49	6	5	2	2	2
1198	"M"	54	8	5	1	3	1
1199	"F"	75	6	5	3	4	2
1200	"F"	43					2
1201	"M"	52	5	5	6	2	1
1202	"F"	29	6	5	1	2	2
1203	"M"	40					1
1204	"M"	45	6	5	1	2	1
1205	"M"	52	8	5	1	2	1
1206	"M"	29	7	5	1	2	1
1207	"M"	37	8	5	1	2	1
1208	"M"	57	7	5	1	2	1
1209	"M"	65	5	5	3	4	1
1210	"M"	36	7	5	1	2	1
1211	"M"	45	8	5	1	2	1
1212	"F"	31	3	5	4	2	2
1213	"M"	45	5	5	1	2	1
1214	"M"	63	5	5	3	2	1
1216	"M"	46	4	5	1	2	1
1217	"M"	68	8	5	3	2	1
1218	"M"	67	8	5	3	2	1
1219	"M"	57	8	5	1	2	1
1220	"M"	66	8	5	2	2	1
1221	"M"	42	7	5	5	2	1
1222	"F"	45	6	5	1	2	2
1223	"M"	78	7	5	3	2	1
1224	"F"	34	5	5	2	2	2
1225	"F"	47	4	5	1	2	2
1226	"M"	56	7	5	1	2	1
1227	"M"	51	6	5	1	2	1
1228	"F"	43	8	5	1	2	2
1229	"M"	42	8	5	1	2	1
1230	"F"	34	8	5	2	2	2
1231	"F"	36	7	5	1	5	2
1232	"F"	51					2
1233	"M"	43	7	5	1	3	1
1234	"F"	42	6	5	6	2	2
1235	"M"	43	8	5	1	2	1
1236	"M"	45	7	5	1	2	1
1237	"F"	68	5	5	4	2	2
1238	"F"	42	5	5		2	2
1239	"M"	56	7	5	3	2	1
1240	"M"	42	3	5	6	2	1
1241	"F"	41	8	5	6	3	2
1242	"F"	50	8	5	5	1	2
1243	"F"	36					2
1244	"M"	48	4	5	1	2	1
1245	"F"	65	3	6	3	2	2
1246	"M"	45	8	5	1	2	1
1247	"M"	49	6	5	1	2	1
1248	"F"	70	5	5	3	2	2
1249	"M"	42	5	5	1	2	1
1250	"M"	70					1
1251	"M"	48	6	5	1	2	1
1252	"M"	44					1
1253	"M"	68	5	5	3	2	1
1254	"M"	62	8	5	3	2	1
1255	"F"	41	5	5	1	3	2
1256	"M"	38	7	5	2	2	1
1257	"M"	37	7	5	1	2	1
1258	"M"	43	6	5	1	2	1
1259	"M"	46	8	5	6	2	1
1260	"M"	46	6	5	1	2	1
1261	"M"	52	8	5	3	2	1
1262	"M"	53	7	5	1	2	1
1263	"M"	49	5	5	6	3	1
1264	"F"	42					2
1265	"M"	60	6	5	1	2	1
1266	"M"	45	8	5	2	2	1
1267	"M"	36	5	5	1	2	1
1268	"M"	50	7	5	1	2	1
1269	"F"	51	6	5	5	2	2
1270	"M"	61	5	5	3	2	1
1271	"M"	62	6	5	6	2	1
1272	"M"	46	5	5	1	2	1
1273	"M"	46	8	5	1	2	1
1274	"M"	33					1
1275	"F"	38	5	5	4	2	2
1276	"M"	42	8	5	1	2	1
1277	"M"	48	6	5	1	2	1
1278	"M"	44	6	5	1	2	1
1279	"F"	43	7	5	1	2	2
1280	"F"	46	8	5	1	2	2
1281	"M"	50	8	5	1	2	1
1282	"M"	67	6	5	3	2	1
1283	"M"	60	5	5	1	2	1
1284	"M"	38	5	5	1	2	1
1285	"F"	59	5	5	3	3	2
1286	"M"	46	6	5	1	2	1
1287	"M"	69	3	5	3	2	1
1288	"M"	44	5	5	1	2	1
1289	"F"	67	5	5	3	3	2
1290	"M"	44	8	5	1	2	1
1291	"M"	37	5	5	1	2	1
1292	"F"	39	8	5	6	2	2
1293	"M"	33	6	5	1	2	1
1294	"M"	36	6	5	4	2	1
1295	"M"	62	8	5	3	2	1
1296	"M"	58	5	5	3	2	1
1297	"F"	56	6	5	6	3	2
1298	"F"	37	5	5	1	3	2
1299	"M"	50	8	5	1	2	1
1300	"M"	65	7	1	6	2	1
1301	"M"	46	5	5	2	5	1
1302	"M"	50	5	5	1	3	1
