ID,SEX,AGE,EDUC,ETHNIC,EMPLOY,MARITAL,SEXN
1435,M,72,8,5,3,2,1
1436,M,36,6,5,1,2,1
1437,M,45,6,5,1,2,1
1438,M,57,8,5,3,2,1
1443,F,34,5,5,2,2,2
1444,F,62,5,5,1,3,2
1445,M,61,6,5,3,2,1
1446,F,45,8,5,2,2,2
1449,M,64,8,5,3,2,1
1457,M,40,4,5,1,2,1
1458,F,47,4,5,4,2,2
1459,F,37,6,5,2,2,2
1462,M,53,8,5,1,2,1
1465,M,38,7,5,1,2,1
1466,M,41,7,5,1,2,1
1472,M,47,5,5,NA,2,1
1473,F,33,5,5,4,2,2
1475,F,38,5,5,1,2,2
1479,M,64,8,5,3,2,1
1483,M,47,6,5,1,2,1
1489,F,50,6,5,1,4,2
1490,M,43,6,5,1,2,1
1491,M,48,8,5,1,2,1
1493,F,47,5,5,6,4,2
1496,M,64,6,5,3,2,1
1498,M,35,5,5,1,2,1
1500,M,50,8,5,6,2,1
1502,F,39,6,5,1,2,2
1505,M,59,8,5,1,2,1
1511,F,45,7,5,1,2,2
1513,M,42,5,5,1,2,1
1520,M,40,5,5,6,2,1
1522,M,54,6,5,1,3,1
1524,F,39,6,5,2,2,2
1526,M,45,4,5,1,2,1
1527,M,42,8,5,1,2,1
1529,M,48,5,5,1,2,1
1530,F,44,5,5,4,2,2
1534,M,44,7,5,1,2,1
1535,M,56,4,5,1,2,1
1537,M,54,6,5,2,2,1
1538,M,56,5,5,1,2,1
1539,M,46,8,5,1,2,1
1542,M,52,6,5,1,2,1
1547,F,38,6,5,4,2,2
1548,M,44,6,5,1,2,1
1552,F,22,NA,NA,NA,NA,2
1554,F,45,5,5,1,2,2
1556,M,46,8,5,1,2,1
1564,M,52,6,5,1,2,1
1565,M,37,5,5,1,2,1
1567,F,55,8,5,6,1,2
1568,F,39,5,5,4,2,2
1571,M,50,5,5,1,2,1
1574,M,20,5,5,2,1,1
1575,M,39,7,5,1,2,1
1577,M,34,6,5,1,2,1
1580,M,47,6,5,1,2,1
1582,M,42,6,5,1,2,1
1583,F,74,4,5,3,2,2
1585,M,39,8,5,1,2,1
1587,M,30,7,5,6,2,1
1588,F,40,6,5,1,2,2
1589,M,46,5,5,1,2,1
1600,M,51,8,5,1,2,1
1604,M,45,5,5,1,6,1
1607,M,34,6,5,1,2,1
1608,M,62,5,5,3,2,1
1610,F,48,5,5,6,2,2
1611,M,44,5,5,1,2,1
1612,M,51,8,5,1,2,1
1614,F,42,6,5,4,2,2
1616,F,49,6,5,2,2,2
1618,M,40,3,5,1,2,1
1620,F,54,6,5,6,2,2
1623,M,36,7,5,1,2,1
1624,F,57,4,5,1,4,2
1625,M,46,5,5,1,3,1
1627,F,45,3,5,4,2,2
1628,F,45,7,5,1,2,2
1629,M,63,8,5,3,2,1
1631,M,39,8,5,1,2,1
1632,M,37,8,5,1,2,1
1633,F,35,8,5,2,2,2
1637,M,43,6,5,1,2,1
1641,M,38,8,5,1,2,1
1643,F,44,5,5,6,2,2
1644,M,43,8,5,1,2,1
1648,M,58,6,5,1,2,1
1649,M,52,6,5,1,2,1
1652,M,83,5,5,3,2,1
1654,M,40,5,5,1,4,1
1656,M,50,6,5,1,2,1
1659,M,51,7,5,1,2,1
1661,M,55,8,5,3,2,1
1662,M,41,7,2,1,2,1
1665,M,63,3,5,2,2,1
1669,F,75,3,5,4,2,2
1681,M,49,8,5,1,2,1
1683,M,42,6,5,1,2,1
1685,M,49,6,5,1,2,1
1686,M,41,8,5,1,2,1
1687,M,47,6,5,1,2,1
1694,F,49,6,5,4,2,2
1698,M,54,4,5,3,2,1
1703,F,37,6,5,6,3,2
1708,M,42,6,5,1,2,1
1715,F,41,6,5,1,2,2
1717,F,21,5,5,1,1,2
1723,M,46,8,5,1,2,1
1729,M,50,8,5,1,2,1
1730,M,66,3,5,3,2,1
1734,F,78,8,5,3,4,2
1738,M,50,6,5,1,2,1
1739,F,46,7,5,2,2,2
1745,M,62,5,5,3,2,1
1748,F,52,2,5,1,4,2
1754,F,47,8,5,1,2,2
1761,F,41,8,5,1,2,2
1762,F,30,6,5,1,2,2
1763,F,43,4,5,2,2,2
1765,F,47,5,5,2,2,2
1766,F,57,5,5,1,2,2
1778,F,69,6,5,3,2,2
1780,F,41,3,5,5,3,2
1785,F,46,8,5,1,1,2
1792,F,52,6,5,3,2,2
1794,F,63,3,5,3,2,2
1797,M,67,4,5,3,2,1
1799,F,46,8,5,1,1,2
1810,F,62,8,5,2,2,2
1815,F,55,7,1,1,2,2
1823,F,37,5,5,4,2,2
1838,F,51,7,5,2,2,2
1840,F,62,5,5,3,2,2
1845,F,52,5,5,2,2,2
1849,F,48,7,5,1,2,2
1851,F,44,6,5,2,2,2
1859,F,43,5,5,5,2,2
1866,F,46,6,5,5,2,2
1867,F,46,6,5,1,2,2
1869,F,39,5,5,1,2,2
1872,F,45,8,5,1,3,2
1888,F,54,7,5,1,2,2
1889,F,49,8,5,6,3,2
1892,F,41,5,5,1,3,2
1909,F,42,6,5,1,2,2
1912,F,61,5,5,6,2,2
1914,F,38,3,5,4,2,2
1923,F,44,3,5,1,2,2
1933,F,48,8,5,1,3,2
1937,F,51,6,5,2,2,2
1939,F,45,8,5,4,2,2
1946,F,39,8,5,2,2,2
1947,F,46,5,5,1,3,2
1950,F,53,8,5,4,2,2
1951,F,56,7,5,2,2,2
1954,F,74,5,5,3,4,2
1956,F,38,3,5,5,2,2
