id,h24,a5,a7,a48,a79,a139,a4,a132,a84,a3,a14,a54,a80,a101,a10,a12,a130,a66,a28,a33,a116,a122,a134,a142,a87,a106,e9,x183,x10,a15,a26,a69,a124,x199,a97,a6,h378,a113,a1,a16,a63,a71,a72,a76,a2,a11,a13,a42,x253,h992,h988,a135,a46,e64,h1046,a67,a56,a128,h1100,e115,x259,x219,a24,x244,e169,h435,x103,a51,total_score_exploratory,positive_expressivity,negative_expressivity,attending_to_emotions,emotion_based_decision_making,responsive_joy,responsive_distress,empathic_concern
1386,4,5,3,5,2,4,2,5,5,1,4,4,4,4,3,2,4,2,5,1,2,5,4,1,2,2,5,3,3,4,3,1,4,3,1,1,2,2,5,4,4,4,4,3,4,5,5,1,3,1,4,5,4,2,2,5,1,2,5,5,4,2,4,4,3,5,3,4,224,35,33,28,21,39,29,39
1388,3,4,2,3,5,5,3,5,5,3,3,1,5,3,5,3,2,1,3,3,1,5,5,1,3,1,5,4,3,2,3,1,5,2,2,1,2,2,5,4,5,5,5,5,4,5,3,5,3,2,4,3,5,2,4,1,5,1,4,5,4,2,2,5,3,4,3,5,228,35,29,31,20,46,30,37
1394,2,5,3,5,3,4,2,2,2,4,4,3,5,4,1,2,2,2,1,4,3,4,4,1,2,4,3,2,4,3,3,3,3,2,5,2,3,3,5,4,4,4,3,2,3,3,3,5,5,5,4,4,4,4,3,5,5,2,5,4,4,4,5,5,3,5,2,5,233,28,28,31,27,36,41,42
1397,4,5,3,5,5,4,4,4,4,1,3,2,4,4,1,1,4,1,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,3,2,4,3,4,4,4,4,4,4,4,5,2,2,5,5,4,2,5,2,4,4,5,2,4,5,2,2,3,5,2,3,2,3,236,38,23,38,31,37,38,31
1398,4,5,2,5,1,5,2,2,5,4,4,4,4,4,5,5,4,4,5,5,5,4,4,4,4,5,5,4,5,4,1,2,3,2,1,2,4,2,4,5,4,5,5,4,2,4,4,1,4,5,4,3,5,2,4,4,5,3,3,4,2,2,4,4,1,1,2,2,242,31,43,45,21,38,39,25
1399,4,5,2,5,5,4,5,5,4,3,4,2,3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,5,4,5,3,3,4,3,2,3,4,4,3,4,4,5,3,3,5,4,3,4,4,4,2,3,4,2,4,3,4,257,39,36,42,32,36,38,34
1401,4,5,4,5,5,5,2,4,4,3,4,2,4,3,2,4,3,2,2,4,2,4,4,2,4,2,4,2,4,5,2,2,4,3,2,1,3,2,5,4,4,4,4,4,4,4,4,3,4,5,4,4,5,3,2,5,5,2,4,4,4,3,3,4,2,4,3,4,237,38,29,32,24,40,39,35
1405,4,5,2,5,5,5,4,4,5,2,4,2,2,3,2,4,4,2,5,4,2,4,3,2,2,4,5,4,3,4,2,1,2,3,2,2,4,2,4,4,5,4,4,4,5,5,5,2,4,1,2,4,4,2,4,5,2,1,4,4,4,2,4,5,2,4,2,4,230,39,30,33,22,42,29,35
1409,2,5,4,5,5,5,4,4,5,4,4,2,5,4,2,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,2,3,4,2,2,1,4,2,5,5,5,5,4,4,5,5,4,5,4,4,5,4,5,2,2,5,4,2,3,5,4,2,5,5,4,5,4,4,259,39,35,36,24,47,37,41
1411,5,4,4,5,5,5,5,5,4,2,4,4,5,4,4,2,2,2,4,5,4,4,5,4,4,4,5,4,5,5,4,4,4,1,2,2,2,2,5,5,5,5,5,5,5,5,2,5,4,4,3,2,5,2,2,5,5,1,4,5,4,2,5,5,4,5,2,4,265,42,33,44,26,47,33,40
1416,4,5,3,5,5,5,2,2,5,4,5,3,4,2,5,3,2,4,5,3,2,4,4,2,2,2,4,4,2,4,2,3,4,4,3,2,4,4,4,4,4,4,4,4,3,5,5,5,4,4,3,3,4,2,2,4,5,2,4,4,1,4,4,5,2,5,2,2,240,36,37,29,30,42,33,33
1417,5,4,3,4,3,4,2,3,3,3,4,1,4,4,2,4,3,4,5,4,3,5,3,3,1,1,2,2,1,4,1,4,3,1,3,1,2,2,5,4,4,4,3,4,5,4,5,3,3,1,4,4,4,1,5,4,4,1,4,1,4,1,4,2,1,3,1,2,206,31,34,25,21,41,31,23
1423,2,4,1,2,2,2,2,2,2,1,2,1,3,2,2,4,2,2,5,4,3,5,4,2,4,2,3,2,2,2,1,1,2,1,1,1,1,1,4,4,3,2,2,4,3,4,2,2,3,1,3,2,5,2,2,5,1,1,4,3,2,1,2,3,1,2,2,2,162,19,24,31,11,30,25,22
1427,4,4,2,4,4,4,2,4,4,3,4,2,3,3,3,4,4,3,4,2,3,4,2,2,2,2,4,2,3,4,2,3,4,4,3,2,2,2,5,4,4,4,4,4,3,2,3,4,2,3,4,2,4,4,3,4,3,3,4,3,2,2,4,4,2,4,4,3,218,32,33,26,26,37,32,32
