scale,n,items,mean,sd,median,min,max,theoretical_min,theoretical_max
positive_expressivity,524,9,35.221374045801525,5.991121635600167,36,16,45,9,45
negative_expressivity,524,10,31.280534351145043,6.400251167750374,31,15,50,10,50
attending_to_emotions,524,10,36.480916030534345,6.553618993550797,36,16,50,10,50
emotion_based_decision_making,524,9,25.116412213740457,4.76681864057422,25,11,42,9,45
responsive_joy,524,10,39.385496183206115,5.130445578842205,40,21,50,10,50
responsive_distress,524,10,32.41030534351144,5.512160093212349,32,16,47,10,50
empathic_concern,524,10,35.83015267175572,5.715679616256564,36,16,49,10,50
